"","model","gene","variable","df","statistic","contrast_ref","contrast_lvl","estimate","pval","FDR","std.error","contrasts"
"1","lm.contrast","15","Timepoint*Treatment",20,-12.2197194593726,"Baseline Alone","4 hrs Alone",1.90706877888013,9.85967443328568e-11,2.66211209698713e-09,0.156064857726123,"Baseline Alone+4 hrs Alone"
"2","lm.contrast","14","Timepoint*Treatment",20,-11.3133519333242,"Baseline Alone","4 hrs Alone",2.23977362591523,3.82304282898007e-10,5.16110781912309e-09,0.19797612936603,"Baseline Alone+4 hrs Alone"
"3","lm.contrast","04","Timepoint*Treatment",20,-8.4032593983027,"Baseline Alone","4 hrs Alone",1.60390955297655,5.40783400039032e-08,4.86705060035129e-07,0.190867552333385,"Baseline Alone+4 hrs Alone"
"4","lm.contrast","03","Timepoint*Treatment",20,7.3884473972822,"Baseline Alone","4 hrs Alone",-0.837163368362772,3.89356997222876e-07,2.62815973125441e-06,0.113307075674751,"Baseline Alone+4 hrs Alone"
"5","lm.contrast","22","Timepoint*Treatment",20,-3.10352026630429,"Baseline Alone","4 hrs Alone",1.0013181837992,0.00559998988942587,0.0251999545024164,0.322639486092863,"Baseline Alone+4 hrs Alone"
"6","lm.contrast","24","Timepoint*Treatment",20,3.11890455779599,"Baseline Alone","4 hrs Alone",-0.524663106449969,0.00540785343292663,0.0251999545024164,0.168220314769981,"Baseline Alone+4 hrs Alone"
"7","lm.contrast","23","Timepoint*Treatment",20,2.67553287804978,"Baseline Alone","4 hrs Alone",-0.495891982754984,0.0145347227853941,0.0560625021722342,0.185343258841373,"Baseline Alone+4 hrs Alone"
"8","lm.contrast","20","Timepoint*Treatment",20,-2.10110738324655,"Baseline Alone","4 hrs Alone",0.864787288002004,0.0485100075286558,0.163721275409213,0.411586430516354,"Baseline Alone+4 hrs Alone"
"9","lm.contrast","26","Timepoint*Treatment",20,1.93863474660097,"Baseline Alone","4 hrs Alone",-0.339898988343875,0.0667886259958979,0.200365877987694,0.175329049961486,"Baseline Alone+4 hrs Alone"
"10","lm.contrast","17","Timepoint*Treatment",20,1.81134670482618,"Baseline Alone","4 hrs Alone",-0.338605323426743,0.0851336036495836,0.229860729853876,0.18693567748491,"Baseline Alone+4 hrs Alone"
"11","lm.contrast","04","Timepoint*Treatment",20,-8.24492300485779,"Baseline Alone","8 hrs Alone",1.45317201476141,7.29257163581521e-08,1.96899434167011e-06,0.176250525796933,"Baseline Alone+8 hrs Alone"
"12","lm.contrast","03","Timepoint*Treatment",20,7.68807787088575,"Baseline Alone","8 hrs Alone",-0.804401962892585,2.14289594437309e-07,2.89290952490367e-06,0.104629788667829,"Baseline Alone+8 hrs Alone"
"13","lm.contrast","19","Timepoint*Treatment",20,6.56142965260484,"Baseline Alone","8 hrs Alone",-0.915138232705043,2.15461028844229e-06,1.93914925959806e-05,0.139472383483033,"Baseline Alone+8 hrs Alone"
"14","lm.contrast","24","Timepoint*Treatment",20,4.10447014957302,"Baseline Alone","8 hrs Alone",-0.637578788113023,0.000551033229065732,0.00297557943695495,0.155337659887562,"Baseline Alone+8 hrs Alone"
"15","lm.contrast","23","Timepoint*Treatment",20,3.74611180653894,"Baseline Alone","8 hrs Alone",-0.64114439082316,0.00127284965780671,0.00572782346013018,0.171149293970357,"Baseline Alone+8 hrs Alone"
"16","lm.contrast","26","Timepoint*Treatment",20,3.64275888933073,"Baseline Alone","8 hrs Alone",-0.589769926517719,0.00161916189561427,0.00624533874022648,0.161901993635949,"Baseline Alone+8 hrs Alone"
"17","lm.contrast","22","Timepoint*Treatment",20,-2.72724071310631,"Baseline Alone","8 hrs Alone",0.812529814842993,0.0129795167526916,0.0438058690403343,0.297931096048184,"Baseline Alone+8 hrs Alone"
"18","lm.contrast","01","Timepoint*Treatment",20,-2.33469320104019,"Baseline Alone","8 hrs Alone",0.315994692491112,0.0300970190053219,0.0902910570159657,0.135347416247379,"Baseline Alone+8 hrs Alone"
"19","lm.contrast","20","Timepoint*Treatment",20,-1.80873915773323,"Baseline Alone","8 hrs Alone",0.68744080298358,0.0855514083301521,0.230988802491411,0.380066302011785,"Baseline Alone+8 hrs Alone"
"20","lm.contrast","01","Timepoint*Treatment",20,-10.7766266443068,"Baseline Alone","28 hrs Alone",1.52616284234096,8.86626042938278e-10,2.39389031593335e-08,0.14161786361479,"Baseline Alone+28 hrs Alone"
"21","lm.contrast","08","Timepoint*Treatment",20,-4.51327182099121,"Baseline Alone","28 hrs Alone",1.47693737005693,0.000212111297459393,0.00286350251570181,0.327243168290397,"Baseline Alone+28 hrs Alone"
"22","lm.contrast","07","Timepoint*Treatment",20,3.98619893013706,"Baseline Alone","28 hrs Alone",-1.9171046733924,0.00072659478224006,0.00653935304016054,0.480935524541541,"Baseline Alone+28 hrs Alone"
"23","lm.contrast","13","Timepoint*Treatment",20,3.54588847119308,"Baseline Alone","28 hrs Alone",-0.594917171192611,0.00202764733122397,0.00782092542043533,0.16777661678469,"Baseline Alone+28 hrs Alone"
"24","lm.contrast","14","Timepoint*Treatment",20,-3.58097695148788,"Baseline Alone","28 hrs Alone",0.684984494578622,0.00186911173190868,0.00782092542043533,0.191284251157778,"Baseline Alone+28 hrs Alone"
"25","lm.contrast","17","Timepoint*Treatment",20,3.67163365869374,"Baseline Alone","28 hrs Alone",-0.66315939207935,0.00151396808693063,0.00782092542043533,0.180616982445706,"Baseline Alone+28 hrs Alone"
"26","lm.contrast","02","Timepoint*Treatment",20,2.94678619408935,"Baseline Alone","28 hrs Alone",-1.80912880017517,0.00797427822844957,0.0269131890210173,0.613932834287033,"Baseline Alone+28 hrs Alone"
"27","lm.contrast","16","Timepoint*Treatment",20,2.81899805745559,"Baseline Alone","28 hrs Alone",-1.3882840038979,0.0106017507515926,0.0318052522547777,0.492474267666205,"Baseline Alone+28 hrs Alone"
"28","lm.contrast","20","Timepoint*Treatment",20,2.7315832003063,"Baseline Alone","28 hrs Alone",-1.08628020921658,0.0128563693083271,0.0326752781784602,0.397674216584278,"Baseline Alone+28 hrs Alone"
"29","lm.contrast","23","Timepoint*Treatment",20,2.71570416517736,"Baseline Alone","28 hrs Alone",-0.486323929195324,0.0133121503690023,0.0326752781784602,0.179078389845001,"Baseline Alone+28 hrs Alone"
"30","lm.contrast","12","Timepoint*Treatment",20,-2.66618409425996,"Baseline Alone","28 hrs Alone",1.03954692635834,0.0148341431317771,0.0333768220464985,0.389900655621037,"Baseline Alone+28 hrs Alone"
"31","lm.contrast","18","Timepoint*Treatment",20,-2.51939803151389,"Baseline Alone","28 hrs Alone",0.909297289753241,0.0203709244216531,0.0423088430295871,0.36091847273805,"Baseline Alone+28 hrs Alone"
"32","lm.contrast","06","Timepoint*Treatment",20,2.47825564026903,"Baseline Alone","28 hrs Alone",-1.4069793149542,0.0222411279149468,0.0428936038359687,0.56772969345546,"Baseline Alone+28 hrs Alone"
"33","lm.contrast","15","Timepoint*Treatment",20,2.06894806960941,"Baseline Alone","28 hrs Alone",-0.311975936334995,0.051723256857373,0.0931018623432713,0.150789640840958,"Baseline Alone+28 hrs Alone"
