"","module.char","ensembl_gene_id","geneName"
"1","1","ENSG00000159388","BTG2"
"2","1","ENSG00000164741","DLC1"
"3","1","ENSG00000125347","IRF1"
"4","1","ENSG00000163162","RNF149"
"5","1","ENSG00000271503","CCL5"
"6","1","ENSG00000143344","RGL1"
"7","1","ENSG00000112773","FAM46A"
"8","1","ENSG00000152804","HHEX"
"9","1","ENSG00000163297","ANTXR2"
"10","1","ENSG00000040633","PHF23"
"11","1","ENSG00000133805","AMPD3"
"12","1","ENSG00000122477","LRRC39"
"13","1","ENSG00000197746","PSAP"
"14","1","ENSG00000164291","ARSK"
"15","1","ENSG00000140105","WARS"
"16","1","ENSG00000173917","HOXB2"
"17","1","ENSG00000012232","EXTL3"
"18","1","ENSG00000129355","CDKN2D"
"19","1","ENSG00000171855","IFNB1"
"20","1","ENSG00000118508","RAB32"
"21","1","ENSG00000135211","TMEM60"
"22","1","ENSG00000060566","CREB3L3"
"23","1","ENSG00000118513","MYB"
"24","1","ENSG00000185811","IKZF1"
"25","1","ENSG00000165898","ISCA2"
"26","1","ENSG00000138623","SEMA7A"
"27","1","ENSG00000043462","LCP2"
"28","1","ENSG00000136213","CHST12"
"29","1","ENSG00000025708","TYMP"
"30","1","ENSG00000133243","BTBD2"
"31","1","ENSG00000079387","SENP1"
"32","1","ENSG00000175895","PLEKHF2"
"33","1","ENSG00000135414","GDF11"
"34","1","ENSG00000010295","IFFO1"
"35","1","ENSG00000163563","MNDA"
"36","1","ENSG00000132002","DNAJB1"
"37","1","ENSG00000173821","RNF213"
"38","1","ENSG00000105559","PLEKHA4"
"39","1","ENSG00000170473","WIBG"
"40","1","ENSG00000127220","ABHD8"
"41","1","ENSG00000185651","UBE2L3"
"42","1","ENSG00000117280","RAB29"
"43","1","ENSG00000099968","BCL2L13"
"44","1","ENSG00000179715","PCED1B"
"45","1","ENSG00000125952","MAX"
"46","1","ENSG00000117713","ARID1A"
"47","1","ENSG00000135205","CCDC146"
"48","1","ENSG00000175538","KCNE3"
"49","1","ENSG00000170855","TRIAP1"
"50","1","ENSG00000141232","TOB1"
"51","1","ENSG00000119139","TJP2"
"52","1","ENSG00000120093","HOXB3"
"53","1","ENSG00000160633","SAFB"
"54","1","ENSG00000100100","PIK3IP1"
"55","1","ENSG00000100591","AHSA1"
"56","1","ENSG00000115275","MOGS"
"57","1","ENSG00000115841","RMDN2"
"58","1","ENSG00000151461","UPF2"
"59","1","ENSG00000114315","HES1"
"60","1","ENSG00000039523","FAM65A"
"61","1","ENSG00000138316","ADAMTS14"
"62","1","ENSG00000184678","HIST2H2BE"
"63","1","ENSG00000175787","ZNF169"
"64","1","ENSG00000068120","COASY"
"65","1","ENSG00000163565","IFI16"
"66","1","ENSG00000108839","ALOX12"
"67","1","ENSG00000091136","LAMB1"
"68","1","ENSG00000165156","ZHX1"
"69","1","ENSG00000179562","GCC1"
"70","1","ENSG00000162946","DISC1"
"71","1","ENSG00000179588","ZFPM1"
"72","1","ENSG00000182742","HOXB4"
"73","1","ENSG00000196116","TDRD7"
"74","1","ENSG00000127191","TRAF2"
"75","1","ENSG00000122188","LAX1"
"76","1","ENSG00000116584","ARHGEF2"
"77","1","ENSG00000177917","ARL6IP6"
"78","1","ENSG00000168016","TRANK1"
"79","1","ENSG00000143315","PIGM"
"80","1","ENSG00000100902","PSMA6"
"81","1","ENSG00000124279","FASTKD3"
"82","1","ENSG00000164463","CREBRF"
"83","1","ENSG00000243667","WDR92"
"84","1","ENSG00000165175","MID1IP1"
"85","1","ENSG00000204406","MBD5"
"86","1","ENSG00000106560","GIMAP2"
"87","1","ENSG00000135114","OASL"
"88","1","ENSG00000119242","CCDC92"
"89","1","ENSG00000136878","USP20"
"90","1","ENSG00000109971","HSPA8"
"91","1","ENSG00000117586","TNFSF4"
"92","1","ENSG00000183513","COA5"
"93","1","ENSG00000115145","STAM2"
"94","1","ENSG00000167461","RAB8A"
