"","model","gene","variable","df","statistic","contrast_ref","contrast_lvl","estimate","pval","FDR","std.error","contrasts"
"1","lm.contrast","01","Timepoint*Treatment",20,-2.33469320104019,"Baseline Alone","8 hrs Alone",0.315994692491112,0.0300970190053219,0.0902910570159657,0.135347416247379,"Baseline Alone+8 hrs Alone"
"2","lm.contrast","01","Timepoint*Treatment",20,-10.7766266443068,"Baseline Alone","28 hrs Alone",1.52616284234096,8.86626042938278e-10,2.39389031593335e-08,0.14161786361479,"Baseline Alone+28 hrs Alone"
"3","lm.contrast","01","Timepoint*Treatment",20,-4.62626059136371,"Baseline Alone","52 hrs Alone",0.611548688795537,0.000163080832797852,0.00146772749518066,0.132190713583488,"Baseline Alone+52 hrs Alone"
"4","lm.contrast","01","Timepoint*Treatment",20,-2.3486158691757,"Baseline Alone","8 hrs AECs",0.274593480389922,0.0292352919103947,0.0836658025538431,0.116917152776583,"Baseline Alone+8 hrs AECs"
"5","lm.contrast","01","Timepoint*Treatment",20,-13.7437651504117,"Baseline Alone","28 hrs AECs",1.62064521431548,1.1936744274166e-11,3.22292095402481e-10,0.117918575920001,"Baseline Alone+28 hrs AECs"
"6","lm.contrast","01","Timepoint*Treatment",20,-7.08377445070037,"Baseline Alone","52 hrs AECs",0.841603747256577,7.23512772766378e-07,9.76742243234611e-06,0.118807247903463,"Baseline Alone+52 hrs AECs"
"7","lm.contrast","01","Timepoint*Treatment",20,-1.97181842865,"52 hrs Alone","52 hrs AECs",0.23005505846104,0.0626213263753026,0.123653385863497,0.116671522650565,"52 hrs Alone+52 hrs AECs"
"8","lm.contrast","02","Timepoint*Treatment",20,2.94678619408935,"Baseline Alone","28 hrs Alone",-1.80912880017517,0.00797427822844957,0.0269131890210173,0.613932834287033,"Baseline Alone+28 hrs Alone"
"9","lm.contrast","02","Timepoint*Treatment",20,1.9873495385762,"Baseline Alone","52 hrs Alone",-1.13888016082944,0.0607515609154633,0.126176318824424,0.573064847789868,"Baseline Alone+52 hrs Alone"
"10","lm.contrast","02","Timepoint*Treatment",20,-3.76942079982548,"28 hrs Alone","28 hrs AECs",2.00512136689208,0.00120552084110689,0.010849687569962,0.531944156244088,"28 hrs Alone+28 hrs AECs"
"11","lm.contrast","02","Timepoint*Treatment",20,-2.7139990568623,"52 hrs Alone","52 hrs AECs",1.3727055214115,0.0133619958218114,0.0300644905990757,0.50578702963829,"52 hrs Alone+52 hrs AECs"
"12","lm.contrast","09","Timepoint*Treatment",20,-2.48526078160057,"Baseline Alone","52 hrs Alone",0.443589042551658,0.0219117419365747,0.0639488612006111,0.178487926030031,"Baseline Alone+52 hrs Alone"
"13","lm.contrast","09","Timepoint*Treatment",20,2.25353725024818,"28 hrs Alone","28 hrs AECs",-0.373366937322177,0.0356043240682047,0.0600822968650954,0.165680393027032,"28 hrs Alone+28 hrs AECs"
"14","lm.contrast","09","Timepoint*Treatment",20,4.16019432827408,"52 hrs Alone","52 hrs AECs",-0.655369731714879,0.000483707435219216,0.00261202015018377,0.157533441950239,"52 hrs Alone+52 hrs AECs"
"15","lm.contrast","21","Timepoint*Treatment",20,1.58058790658675,"Baseline Alone","28 hrs Alone",-0.300746083177955,0.129658435390566,0.184251460818172,0.190274822377586,"Baseline Alone+28 hrs Alone"
"16","lm.contrast","21","Timepoint*Treatment",20,3.91829884929049,"Baseline Alone","28 hrs AECs",-0.620787650738163,0.000851570268067248,0.00459847944756314,0.158432951292261,"Baseline Alone+28 hrs AECs"
"17","lm.contrast","21","Timepoint*Treatment",20,2.54881232327126,"Baseline Alone","52 hrs AECs",-0.406859143723239,0.0191253833870399,0.0737693359214397,0.159626952525503,"Baseline Alone+52 hrs AECs"
"18","lm.contrast","21","Timepoint*Treatment",20,1.94124290909036,"28 hrs Alone","28 hrs AECs",-0.320041567560208,0.0664524005212105,0.0996786007818157,0.164864255813393,"28 hrs Alone+28 hrs AECs"
"19","lm.contrast","21","Timepoint*Treatment",20,4.16420700220014,"52 hrs Alone","52 hrs AECs",-0.652770414308512,0.000479189930558352,0.00261202015018377,0.156757436401126,"52 hrs Alone+52 hrs AECs"
