"","model","ensembl_gene_id","geneName","variable","df","statistic","contrast_ref","contrast_lvl","estimate","pval","FDR","std.error","geneId","geneBiotype","contrasts"
"1","lm.contrast","ENSG00000121807","CCR2","Timepoint*Treatment",20,2.46028500586953,"Baseline Alone","4 hrs Alone",-3.06483374751398,0.0231074107474975,0.276539276917896,1.24572305249277,"ENSG00000121807","protein_coding","Baseline Alone+4 hrs Alone"
"2","lm.contrast","ENSG00000121807","CCR2","Timepoint*Treatment",20,2.82291292060076,"Baseline Alone","28 hrs Alone",-3.65759562288673,0.0105101779401964,0.156167638439987,1.29568134964232,"ENSG00000121807","protein_coding","Baseline Alone+28 hrs Alone"
"3","lm.contrast","ENSG00000121807","CCR2","Timepoint*Treatment",20,-3.35082704542619,"28 hrs Alone","28 hrs AECs",3.7165649374608,0.00318213064372526,0.0977193480977814,1.10914854365099,"ENSG00000121807","protein_coding","28 hrs Alone+28 hrs AECs"
"4","lm.contrast","ENSG00000160791","CCR5","Timepoint*Treatment",20,2.64059006356848,"Baseline Alone","52 hrs Alone",-3.27018871747451,0.0156840374019746,0.217318628388133,1.23843104713315,"ENSG00000160791","protein_coding","Baseline Alone+52 hrs Alone"
"5","lm.contrast","ENSG00000160791","CCR5","Timepoint*Treatment",20,-4.54819311813256,"52 hrs Alone","52 hrs AECs",4.86837977174899,0.000195547361484692,0.0322338472534709,1.07039864959558,"ENSG00000160791","protein_coding","52 hrs Alone+52 hrs AECs"
"6","lm.contrast","ENSG00000115604","IL18R1","Timepoint*Treatment",20,4.33301229327281,"Baseline Alone","52 hrs Alone",-2.91820163872977,0.000322974065522126,0.0231588553682641,0.673481043028751,"ENSG00000115604","protein_coding","Baseline Alone+52 hrs Alone"
"7","lm.contrast","ENSG00000115604","IL18R1","Timepoint*Treatment",20,-5.00643466278196,"52 hrs Alone","52 hrs AECs",2.80072976651399,6.77213421091612e-05,0.0215820392708329,0.559426009757948,"ENSG00000115604","protein_coding","52 hrs Alone+52 hrs AECs"
"8","lm.contrast","ENSG00000115602","IL1RL1","Timepoint*Treatment",20,-3.8706711343907,"Baseline Alone","4 hrs Alone",1.83727241458243,0.000951797177355261,0.0340392102754409,0.474665077654973,"ENSG00000115602","protein_coding","Baseline Alone+4 hrs Alone"
"9","lm.contrast","ENSG00000115602","IL1RL1","Timepoint*Treatment",20,2.3896276911669,"Baseline Alone","28 hrs Alone",-1.12932858950205,0.0268278800805132,0.243351441008628,0.472596042336027,"ENSG00000115602","protein_coding","Baseline Alone+28 hrs Alone"
"10","lm.contrast","ENSG00000115602","IL1RL1","Timepoint*Treatment",20,-4.43553469762544,"28 hrs Alone","28 hrs AECs",1.80864931182631,0.00025424386345126,0.0472125040576782,0.407763535880932,"ENSG00000115602","protein_coding","28 hrs Alone+28 hrs AECs"
"11","lm.contrast","ENSG00000185291","IL3RA","Timepoint*Treatment",20,-2.46002210982399,"28 hrs Alone","28 hrs AECs",2.13403182147153,0.0231203145939842,0.218902819699496,0.867484813632108,"ENSG00000185291","protein_coding","28 hrs Alone+28 hrs AECs"
"12","lm.contrast","ENSG00000091181","IL5RA","Timepoint*Treatment",20,-3.1166660484061,"52 hrs Alone","52 hrs AECs",2.08991458053354,0.00543540749841682,0.128101924212781,0.670560960999444,"ENSG00000091181","protein_coding","52 hrs Alone+52 hrs AECs"
"13","lm.contrast","ENSG00000213316","LTC4S","Timepoint*Treatment",20,-2.43372522382091,"52 hrs Alone","52 hrs AECs",1.80314358824982,0.024445581569353,0.238485772303464,0.74089859060544,"ENSG00000213316","protein_coding","52 hrs Alone+52 hrs AECs"
