"","model","gene","variable","df","statistic","contrast_ref","contrast_lvl","estimate","pval","FDR","std.error","contrasts"
"1","lm.contrast","ENSG00000116741","Timepoint*Treatment",20,-19.032734012492,"Baseline Alone","4 hrs Alone",3.72720921410664,2.77630237117276e-14,3.98149523049886e-10,0.195831519090232,"Baseline Alone+4 hrs Alone"
"2","lm.contrast","ENSG00000135821","Timepoint*Treatment",20,-15.1926113565517,"Baseline Alone","4 hrs Alone",1.72083071589373,1.90153809000755e-12,1.36349788743992e-08,0.113267605911056,"Baseline Alone+4 hrs Alone"
"3","lm.contrast","ENSG00000147872","Timepoint*Treatment",20,-14.7123044714491,"Baseline Alone","4 hrs Alone",2.85102804596296,3.4375900826209e-12,1.64328264582888e-08,0.193785280307086,"Baseline Alone+4 hrs Alone"
"4","lm.contrast","ENSG00000159388","Timepoint*Treatment",20,14.1900657443993,"Baseline Alone","4 hrs Alone",-2.59547997495492,6.66759202197219e-12,2.39049842967758e-08,0.18290824170278,"Baseline Alone+4 hrs Alone"
"5","lm.contrast","ENSG00000168003","Timepoint*Treatment",20,-13.8805259003263,"Baseline Alone","4 hrs Alone",1.36409774465152,9.96953860170217e-12,2.85946306174022e-08,0.0982742119748829,"Baseline Alone+4 hrs Alone"
"6","lm.contrast","ENSG00000164741","Timepoint*Treatment",20,13.605489720503,"Baseline Alone","4 hrs Alone",-3.08764118345945,1.43421015426937e-11,3.42800130372951e-08,0.226940833949291,"Baseline Alone+4 hrs Alone"
"7","lm.contrast","ENSG00000166579","Timepoint*Treatment",20,-12.9222811402629,"Baseline Alone","4 hrs Alone",3.4239637225119,3.63455598797785e-11,7.44616677479862e-08,0.264965889949849,"Baseline Alone+4 hrs Alone"
"8","lm.contrast","ENSG00000034152","Timepoint*Treatment",20,-12.6028843950393,"Baseline Alone","4 hrs Alone",1.7847084282016,5.69021207919024e-11,8.59651005067745e-08,0.141611108398652,"Baseline Alone+4 hrs Alone"
"9","lm.contrast","ENSG00000112245","Timepoint*Treatment",20,-12.6497124805357,"Baseline Alone","4 hrs Alone",1.79733927692189,5.32529466777608e-11,8.59651005067745e-08,0.142085385710345,"Baseline Alone+4 hrs Alone"
"10","lm.contrast","ENSG00000196352","Timepoint*Treatment",20,-12.5661905782477,"Baseline Alone","4 hrs Alone",1.95577746788842,5.99435886666024e-11,8.59651005067745e-08,0.155638055599276,"Baseline Alone+4 hrs Alone"
"11","lm.contrast","ENSG00000069849","Timepoint*Treatment",20,-11.6043076313364,"Baseline Alone","4 hrs Alone",3.1977924918379,2.45301899102772e-10,2.93156211252738e-07,0.275569434509178,"Baseline Alone+4 hrs Alone"
"12","lm.contrast","ENSG00000075426","Timepoint*Treatment",20,-11.6507216386995,"Baseline Alone","4 hrs Alone",3.95998076806588,2.28715902186685e-10,2.93156211252738e-07,0.339891458303514,"Baseline Alone+4 hrs Alone"
"13","lm.contrast","ENSG00000137509","Timepoint*Treatment",20,-10.2825831902552,"Baseline Alone","4 hrs Alone",2.21115358190413,1.97611667015939e-09,2.17996070513506e-06,0.215038725288372,"Baseline Alone+4 hrs Alone"
"14","lm.contrast","ENSG00000204099","Timepoint*Treatment",20,-9.80465421567791,"Baseline Alone","4 hrs Alone",5.2166562270643,4.40379613682231e-09,4.51106002844062e-06,0.532059174378911,"Baseline Alone+4 hrs Alone"
"15","lm.contrast","ENSG00000023445","Timepoint*Treatment",20,-9.60908771830677,"Baseline Alone","4 hrs Alone",4.5095447398871,6.15962390465464e-09,5.88901109444348e-06,0.469299986854707,"Baseline Alone+4 hrs Alone"
"16","lm.contrast","ENSG00000130844","Timepoint*Treatment",20,-9.48624082149645,"Baseline Alone","4 hrs Alone",5.27853377176499,7.62261195815404e-09,6.83224238074295e-06,0.556441046679258,"Baseline Alone+4 hrs Alone"
"17","lm.contrast","ENSG00000111725","Timepoint*Treatment",20,-9.04170283779555,"Baseline Alone","4 hrs Alone",1.05758501179808,1.67363497139026e-08,1.41185877204163e-05,0.116967459644574,"Baseline Alone+4 hrs Alone"
"18","lm.contrast","ENSG00000125657","Timepoint*Treatment",20,8.95534100645092,"Baseline Alone","4 hrs Alone",-2.64707093404784,1.95545175072831e-08,1.5579518642886e-05,0.29558572165382,"Baseline Alone+4 hrs Alone"
"19","lm.contrast","ENSG00000182481","Timepoint*Treatment",20,-8.89691572334598,"Baseline Alone","4 hrs Alone",1.25627953755015,2.17370713198055e-08,1.64069126209122e-05,0.141203938152815,"Baseline Alone+4 hrs Alone"
"20","lm.contrast","ENSG00000145703","Timepoint*Treatment",20,-8.65351934876807,"Baseline Alone","4 hrs Alone",1.60645491940263,3.39362312553259e-08,2.43339746216314e-05,0.185641801289937,"Baseline Alone+4 hrs Alone"
"21","lm.contrast","ENSG00000101558","Timepoint*Treatment",20,-8.51477823315839,"Baseline Alone","4 hrs Alone",1.20854260113048,4.38949793792216e-08,2.54799746335344e-05,0.141934712571157,"Baseline Alone+4 hrs Alone"
