ensembl_gene_id,hgnc_symbol,mean.CPM,min.CPM,max.CPM,express.in.libs
ENSG00000000005,TNMD,0.0317841563954691,0,0.8246399106750049,2
ENSG00000004776,HSPB6,0.012607337293802279,0,0.4412568052830795,1
ENSG00000004846,ABCB5,0,0,0,0
ENSG00000004939,SLC4A1,0,0,0,0
ENSG00000004948,CALCR,0.014307676569248083,0,0.5007686799236829,1
ENSG00000005073,HOXA11,0.023561140305000144,0,0.8246399106750049,1
ENSG00000005102,MEOX1,0.013504093951762764,0,0.4726432883116969,1
ENSG00000005381,MPO,0.1130702833046924,0,2.2306265366657523,2
ENSG00000005471,ABCB4,0.13645430990349294,0,1.7732974039635325,6
ENSG00000005961,ITGA2B,0.045963283757096726,0,0.4966431886876601,4
ENSG00000006071,ABCC8,0,0,0,0
ENSG00000006116,CACNG3,0,0,0,0
ENSG00000006128,TAC1,0.042637735936436605,0,0.7490438922867393,3
ENSG00000006283,CACNA1G,0,0,0,0
ENSG00000006377,DLX6,0.028615353138496166,0,1.0015373598473658,1
ENSG00000006638,TBXA2R,0,0,0,0
ENSG00000006659,LGALS14,0,0,0,0
ENSG00000006788,MYH13,0,0,0,0
ENSG00000007129,CEACAM21,0,0,0,0
ENSG00000007312,CD79B,0,0,0,0
ENSG00000007314,SCN4A,0.014189805391076003,0,0.4966431886876601,1
ENSG00000007350,TKTL1,0,0,0,0
ENSG00000007372,PAX6,0.014307676569248083,0,0.5007686799236829,1
ENSG00000007908,SELE,0.028878329611783417,0,0.6808186163042442,2
ENSG00000008118,CAMK1G,0,0,0,0
ENSG00000008196,TFAP2B,0,0,0,0
ENSG00000008197,TFAP2D,0,0,0,0
ENSG00000008438,PGLYRP1,0.017332092405991522,0,0.3188176710432894,2
ENSG00000009694,TENM1,0,0,0,0
ENSG00000009709,PAX7,0.04394137429724011,0,1.5379481004034037,1
ENSG00000011052,NME1-NME2,0,0,0,0
ENSG00000011083,SLC6A7,0,0,0,0
ENSG00000011465,DCN,0.007946372475005382,0,0.27812303662518834,1
ENSG00000011600,TYROBP,0.024387907446302332,0,0.4412568052830795,2
ENSG00000012504,NR1H4,0.044922726228565676,0,1.0381934050494266,2
ENSG00000013293,SLC7A14,0.08584605941548851,0,3.004612079542097,1
ENSG00000015285,WAS,0.07577826442632381,0,0.8246399106750049,6
ENSG00000015413,DPEP1,0.01866248751362945,0,0.6531870629770307,1
ENSG00000015568,RGPD5,0,0,0,0
ENSG00000015592,STMN4,0,0,0,0
ENSG00000016490,CLCA1,0.03142056703911821,0,1.0997198463691376,1
ENSG00000018625,ATP1A2,0.0325258292002932,0,0.6376353420865788,2
ENSG00000019169,MARCO,0,0,0,0
ENSG00000019505,SYT13,0.07049565954270162,0,1.418637923170826,4
ENSG00000019991,HGF,0.04432563665805528,0,1.0015373598473658,2
ENSG00000021461,CYP3A43,0,0,0,0
ENSG00000021488,SLC7A9,0.06405380478458701,0,1.214100563949712,3
ENSG00000022355,GABRA1,0,0,0,0
ENSG00000027644,INSRR,0,0,0,0
ENSG00000027869,SH2D2A,0.04055879207625895,0,0.5147599699997889,4
