"","libid","median_cv_coverage","mapped_reads_pct","fastq_total_reads","passQC"
"1","lib95467",0.39784,98.246654333866,10322608,TRUE
"2","lib95468",0.404879,96.2141028387015,9010810,TRUE
"3","lib95469",0.378071,94.0960099795302,4186169,TRUE
"4","lib95470",0.400578,96.9239324882799,8816484,TRUE
"5","lib95471",0.404824,97.140348795184,8156764,TRUE
"6","lib95472",0.389314,96.5212696343835,9716246,TRUE
"7","lib95473",0.412946,96.5309592573712,6314541,TRUE
"8","lib95474",0.40659,97.63121285917,6455160,TRUE
"9","lib95475",0.42078,97.5530553067576,4890180,TRUE
"10","lib95476",0.421084,97.5698354817417,5016039,TRUE
"11","lib95477",0.397179,97.8215131759399,8709853,TRUE
"12","lib95478",0.44607,96.6748811477659,2806426,TRUE
"13","lib95479",0.429406,96.7478684016678,3315118,TRUE
"14","lib95480",0.410201,97.488914371182,5814059,TRUE
"15","lib95481",0.45888,92.5099694644219,4504254,TRUE
"16","lib95482",0.403034,97.8299380104773,7231222,TRUE
"17","lib95483",0.422814,97.9910289817825,5206098,TRUE
"18","lib95484",0.379426,96.8671870978811,5828500,TRUE
"19","lib95485",0.429257,97.2951470023008,4126398,TRUE
"20","lib95486",0.421159,97.364992274369,4087692,TRUE
"21","lib95487",0.403363,97.9568980151007,6692128,TRUE
"22","lib95488",0.419673,97.5016927946249,5278254,TRUE
"23","lib95489",0.431023,97.243262546033,4138878,TRUE
"24","lib95490",0.403646,97.8302006199544,7316022,TRUE
"25","lib95491",0.409545,98.3666998882633,8416212,TRUE
"26","lib95492",0.4169,97.2017419149404,5574325,TRUE
"27","lib95493",0.421407,97.6570424265544,6385647,TRUE
"28","lib95494",0.407845,97.4188259867494,7772161,TRUE
"29","lib95495",0.438553,96.7032241162376,3133789,TRUE
"30","lib95496",0.399647,98.1781308409515,9897253,TRUE
"31","lib95497",0.475834,95.4484850492713,1358295,TRUE
"32","lib95498",0.425422,97.2097254851976,4268003,TRUE
"33","lib95499",0.433013,97.4533794504451,3916406,TRUE
"34","lib95500",0.429832,97.5170512068695,3671441,TRUE
"35","lib95501",0.421834,97.7906143900663,4901951,TRUE
"36","lib95502",0.407472,97.7955722206184,4555105,TRUE
"37","lib95503",0.411917,97.5883077352046,5379625,TRUE
"38","lib95504",0.374393,97.4382894466817,9311981,TRUE
"39","lib95505",0.416481,96.9938380461569,3914992,TRUE
"40","lib95506",0.404531,96.0707467645046,5315183,TRUE
"41","lib95507",0.412048,97.6556630187462,5810982,TRUE
"42","lib95508",0.711398,59.8857465076158,148967,FALSE
"43","lib95509",0.354635,97.0904861630798,9018517,TRUE
"44","lib95510",0.356543,94.7987146749854,2719001,TRUE
"45","lib95511",0.399111,95.019479554805,1649165,TRUE
"46","lib95512",0.42085,96.5783675429284,3219662,TRUE
"47","lib95513",0.393156,97.0934358683047,5252972,TRUE
"48","lib95514",0.430789,95.8628423495329,2855342,TRUE
"49","lib95515",0.344362,95.509529444901,4313735,TRUE
"50","lib95516",0.388884,97.1039103561381,9565139,TRUE
"51","lib95517",0.424021,96.4234848341089,3899606,TRUE
"52","lib95518",0.408254,97.0629494171534,5037775,TRUE
"53","lib95519",0.418828,96.9655216833845,4316162,TRUE
"54","lib95520",0.419454,96.9789816179713,3809808,TRUE
"55","lib95521",0.370629,96.1401104890355,6628169,TRUE
"56","lib95522",0.388893,96.8470043875819,7708574,TRUE
"57","lib95523",0.355159,97.3682263741794,9638025,TRUE
"58","lib95524",0.375911,97.2662841295383,9663550,TRUE
"59","lib95525",0.378301,96.9733939477641,6965558,TRUE
"60","lib95526",0.409096,96.9162757887311,6078624,TRUE
"61","lib95527",0.421699,96.8796073450351,4064841,TRUE
"62","lib95528",0.410571,97.2778515621845,4333195,TRUE
"63","lib95529",0.43116,96.3806656548418,3219266,TRUE
"64","lib95530",0.427114,96.06646293938,3157489,TRUE
"65","lib95531",0.38726,97.6466347398061,8133799,TRUE
