Viral_genome,libid,salmonCounts
NC_038311.1,lib97312,0
NC_038311.1,lib97313,1
NC_038311.1,lib97314,0
NC_038311.1,lib97315,0
NC_038311.1,lib97316,0
NC_038311.1,lib97317,1
NC_038311.1,lib97318,1
NC_038311.1,lib97319,2
NC_038311.1,lib97320,0
NC_038311.1,lib97321,2
NC_038311.1,lib97322,0
NC_038311.1,lib97323,0
NC_038311.1,lib97324,1
NC_038311.1,lib97325,1
NC_038311.1,lib97326,0
NC_038311.1,lib97327,1
NC_038311.1,lib97328,0
NC_038311.1,lib97329,0
NC_038311.1,lib97330,0
NC_038311.1,lib97331,0
NC_038311.1,lib97332,2
NC_038311.1,lib97333,2
NC_038311.1,lib97334,0
NC_038311.1,lib97335,1
NC_038311.1,lib97336,0
NC_038311.1,lib97337,0
NC_038311.1,lib97338,1
NC_038311.1,lib97339,0
NC_038311.1,lib97340,1
NC_038311.1,lib97341,1
NC_038311.1,lib97342,1
NC_038311.1,lib97343,1
NC_038311.1,lib97344,0
NC_038311.1,lib97345,0
NC_038311.1,lib97346,0
NC_038311.1,lib97347,1
NC_038311.1,lib97348,0
NC_038311.1,lib97349,0
NC_038311.1,lib97350,1
NC_038311.1,lib97351,1
NC_038311.1,lib97352,0
NC_038311.1,lib97353,0
NC_038311.1,lib97354,1
NC_038311.1,lib97355,1
NC_038311.1,lib97356,0
NC_038311.1,lib97357,2
NC_038311.1,lib97358,0
NC_038311.1,lib97359,0
NC_038311.1,lib97360,1
NC_038311.1,lib97361,0
NC_038311.1,lib97362,0
NC_038311.1,lib97363,0
NC_038311.1,lib95467,0
NC_038311.1,lib95468,0
NC_038311.1,lib95469,1
NC_038311.1,lib95470,0
NC_038311.1,lib95471,0
NC_038311.1,lib95472,0
NC_038311.1,lib95473,0
NC_038311.1,lib95474,1
NC_038311.1,lib95475,1
NC_038311.1,lib95476,1
NC_038311.1,lib95477,1
NC_038311.1,lib95478,0
NC_038311.1,lib95479,1
NC_038311.1,lib95480,2
NC_038311.1,lib95481,0
NC_038311.1,lib95482,1
NC_038311.1,lib95483,0
NC_038311.1,lib95484,0
NC_038311.1,lib95485,1
NC_038311.1,lib95486,1
NC_038311.1,lib95487,1
NC_038311.1,lib95488,1
NC_038311.1,lib95489,1
NC_038311.1,lib95490,2
NC_038311.1,lib95491,1
NC_038311.1,lib95492,0
NC_038311.1,lib95493,0
NC_038311.1,lib95494,1
NC_038311.1,lib95495,1
NC_038311.1,lib95496,0
NC_038311.1,lib95497,1
NC_038311.1,lib95498,0
NC_038311.1,lib95499,0
NC_038311.1,lib95500,1
NC_038311.1,lib95501,0
NC_038311.1,lib95502,0
NC_038311.1,lib95503,72
NC_038311.1,lib95504,301
NC_038311.1,lib95505,126
NC_038311.1,lib95506,117
NC_038311.1,lib95507,0
NC_038311.1,lib95508,5
NC_038311.1,lib95509,399
NC_038311.1,lib95510,155
NC_038311.1,lib95511,53
NC_038311.1,lib95512,2
NC_038311.1,lib95513,78
NC_038311.1,lib95514,90
NC_038311.1,lib95515,89
NC_038311.1,lib95516,179
NC_038311.1,lib95517,131
NC_038311.1,lib95518,171
NC_038311.1,lib95519,86
NC_038311.1,lib95520,95
NC_038311.1,lib95521,444
NC_038311.1,lib95522,362
NC_038311.1,lib95523,437
NC_038311.1,lib95524,567
NC_038311.1,lib95525,413
NC_038311.1,lib95526,186
NC_038311.1,lib95527,79
NC_038311.1,lib95528,69
NC_038311.1,lib95529,107
NC_038311.1,lib95530,88
NC_038311.1,lib95531,155
NC_038312.1,lib97312,0
NC_038312.1,lib97313,1
NC_038312.1,lib97314,0
NC_038312.1,lib97315,0
NC_038312.1,lib97316,1
NC_038312.1,lib97317,0
NC_038312.1,lib97318,2
NC_038312.1,lib97319,0
NC_038312.1,lib97320,0
NC_038312.1,lib97321,1
NC_038312.1,lib97322,1
NC_038312.1,lib97323,0
NC_038312.1,lib97324,2
NC_038312.1,lib97325,0
NC_038312.1,lib97326,2
NC_038312.1,lib97327,1
NC_038312.1,lib97328,1
NC_038312.1,lib97329,1
NC_038312.1,lib97330,1
NC_038312.1,lib97331,0
NC_038312.1,lib97332,0
NC_038312.1,lib97333,1
NC_038312.1,lib97334,0
NC_038312.1,lib97335,1
NC_038312.1,lib97336,0
NC_038312.1,lib97337,0
NC_038312.1,lib97338,1
NC_038312.1,lib97339,2
NC_038312.1,lib97340,0
NC_038312.1,lib97341,1
NC_038312.1,lib97342,0
NC_038312.1,lib97343,0
NC_038312.1,lib97344,0
NC_038312.1,lib97345,1
NC_038312.1,lib97346,0
NC_038312.1,lib97347,1
NC_038312.1,lib97348,1
NC_038312.1,lib97349,1
NC_038312.1,lib97350,1
NC_038312.1,lib97351,0
NC_038312.1,lib97352,0
NC_038312.1,lib97353,0
NC_038312.1,lib97354,0
NC_038312.1,lib97355,0
NC_038312.1,lib97356,0
NC_038312.1,lib97357,0
NC_038312.1,lib97358,0
NC_038312.1,lib97359,0
NC_038312.1,lib97360,1
NC_038312.1,lib97361,0
NC_038312.1,lib97362,0
NC_038312.1,lib97363,0
NC_038312.1,lib95467,0
NC_038312.1,lib95468,1
NC_038312.1,lib95469,0
NC_038312.1,lib95470,0
NC_038312.1,lib95471,1
NC_038312.1,lib95472,0
NC_038312.1,lib95473,1
NC_038312.1,lib95474,1
NC_038312.1,lib95475,1
NC_038312.1,lib95476,0
NC_038312.1,lib95477,0
NC_038312.1,lib95478,0
NC_038312.1,lib95479,0
NC_038312.1,lib95480,1
NC_038312.1,lib95481,0
NC_038312.1,lib95482,1
NC_038312.1,lib95483,0
NC_038312.1,lib95484,1
NC_038312.1,lib95485,1
NC_038312.1,lib95486,0
NC_038312.1,lib95487,0
NC_038312.1,lib95488,0
NC_038312.1,lib95489,1
NC_038312.1,lib95490,1
NC_038312.1,lib95491,1
NC_038312.1,lib95492,1
NC_038312.1,lib95493,0
NC_038312.1,lib95494,1
NC_038312.1,lib95495,0
NC_038312.1,lib95496,1
NC_038312.1,lib95497,0
NC_038312.1,lib95498,1
NC_038312.1,lib95499,0
NC_038312.1,lib95500,0
NC_038312.1,lib95501,1
NC_038312.1,lib95502,0
NC_038312.1,lib95503,1
NC_038312.1,lib95504,1
NC_038312.1,lib95505,2
NC_038312.1,lib95506,1
NC_038312.1,lib95507,0
NC_038312.1,lib95508,0
NC_038312.1,lib95509,1
NC_038312.1,lib95510,0
NC_038312.1,lib95511,0
NC_038312.1,lib95512,0
NC_038312.1,lib95513,0
NC_038312.1,lib95514,0
NC_038312.1,lib95515,0
NC_038312.1,lib95516,1
NC_038312.1,lib95517,0
NC_038312.1,lib95518,0
NC_038312.1,lib95519,0
NC_038312.1,lib95520,0
NC_038312.1,lib95521,1
NC_038312.1,lib95522,0
NC_038312.1,lib95523,1
NC_038312.1,lib95524,1
NC_038312.1,lib95525,0
NC_038312.1,lib95526,1
NC_038312.1,lib95527,0
NC_038312.1,lib95528,1
NC_038312.1,lib95529,1
NC_038312.1,lib95530,0
NC_038312.1,lib95531,0
NC_038878.1,lib97312,1
NC_038878.1,lib97313,0
NC_038878.1,lib97314,0
NC_038878.1,lib97315,1
NC_038878.1,lib97316,0
NC_038878.1,lib97317,0
NC_038878.1,lib97318,0
NC_038878.1,lib97319,1
NC_038878.1,lib97320,1
NC_038878.1,lib97321,0
NC_038878.1,lib97322,0
NC_038878.1,lib97323,0
NC_038878.1,lib97324,0
NC_038878.1,lib97325,2
NC_038878.1,lib97326,1
NC_038878.1,lib97327,1
NC_038878.1,lib97328,0
NC_038878.1,lib97329,0
NC_038878.1,lib97330,0
NC_038878.1,lib97331,0
NC_038878.1,lib97332,1
NC_038878.1,lib97333,1
NC_038878.1,lib97334,1
NC_038878.1,lib97335,2
NC_038878.1,lib97336,0
NC_038878.1,lib97337,0
NC_038878.1,lib97338,1
NC_038878.1,lib97339,1
NC_038878.1,lib97340,0
NC_038878.1,lib97341,0
NC_038878.1,lib97342,2
NC_038878.1,lib97343,1
NC_038878.1,lib97344,1
NC_038878.1,lib97345,0
NC_038878.1,lib97346,1
NC_038878.1,lib97347,0
NC_038878.1,lib97348,1
NC_038878.1,lib97349,1
NC_038878.1,lib97350,1
NC_038878.1,lib97351,1
NC_038878.1,lib97352,1
NC_038878.1,lib97353,1
NC_038878.1,lib97354,0
NC_038878.1,lib97355,0
NC_038878.1,lib97356,1
NC_038878.1,lib97357,1
NC_038878.1,lib97358,1
NC_038878.1,lib97359,1
NC_038878.1,lib97360,0
NC_038878.1,lib97361,0
NC_038878.1,lib97362,1
NC_038878.1,lib97363,0
NC_038878.1,lib95467,2
NC_038878.1,lib95468,2
