"","ensembl_gene_id","entrezgene_id","hgnc_symbol","gene_biotype","chromosome_name","start_position","end_position"
"1","ENSG00000198888",4535,"MT-ND1","protein_coding","MT",3307,4262
"2","ENSG00000198763",4536,"MT-ND2","protein_coding","MT",4470,5511
"3","ENSG00000198804",4512,"MT-CO1","protein_coding","MT",5904,7445
"4","ENSG00000198712",4513,"MT-CO2","protein_coding","MT",7586,8269
"5","ENSG00000228253",4509,"MT-ATP8","protein_coding","MT",8366,8572
"6","ENSG00000198899",4508,"MT-ATP6","protein_coding","MT",8527,9207
"7","ENSG00000198938",4514,"MT-CO3","protein_coding","MT",9207,9990
"8","ENSG00000198840",4537,"MT-ND3","protein_coding","MT",10059,10404
"9","ENSG00000212907",4539,"MT-ND4L","protein_coding","MT",10470,10766
"10","ENSG00000198886",4538,"MT-ND4","protein_coding","MT",10760,12137
"11","ENSG00000198786",4540,"MT-ND5","protein_coding","MT",12337,14148
"12","ENSG00000198695",4541,"MT-ND6","protein_coding","MT",14149,14673
"13","ENSG00000198727",4519,"MT-CYB","protein_coding","MT",14747,15887
"14","ENSG00000278704",NA,"","protein_coding","GL000009.2",56140,58376
"15","ENSG00000277630",100288966,"","protein_coding","GL000213.1",108007,139659
"16","ENSG00000271254",124905564,"","protein_coding","KI270711.1",4612,29626
"17","ENSG00000277400",128966690,"","protein_coding","GL000194.1",53590,115018
"18","ENSG00000278633",NA,"","protein_coding","KI270731.1",10598,13001
"19","ENSG00000273748",NA,"","protein_coding","GL000219.1",54224,83311
"20","ENSG00000277196",NA,"","protein_coding","KI270734.1",138082,161852
"21","ENSG00000274847",727764,"MAFIP","protein_coding","GL000194.1",53594,115055
"22","ENSG00000276256",389831,"","protein_coding","GL000195.1",42939,49164
"23","ENSG00000278817",NA,"","protein_coding","KI270734.1",131494,137392
"24","ENSG00000276017",NA,"","protein_coding","KI270734.1",72411,74814
"25","ENSG00000268674",124905699,"","protein_coding","KI270713.1",35407,35916
"26","ENSG00000268674",124905693,"","protein_coding","KI270713.1",35407,35916
"27","ENSG00000268674",124905556,"","protein_coding","KI270713.1",35407,35916
"28","ENSG00000268674",124903857,"","protein_coding","KI270713.1",35407,35916
"29","ENSG00000277475",NA,"","protein_coding","KI270713.1",31698,32528
"30","ENSG00000276345",NA,"","protein_coding","KI270721.1",2585,11802
"31","ENSG00000275063",102723407,"","protein_coding","KI270726.1",41444,41876
"32","ENSG00000277856",NA,"","protein_coding","KI270726.1",26241,26534
"33","ENSG00000274175",102723655,"","protein_coding","KI270728.1",17234,19833
"34","ENSG00000278384",NA,"","protein_coding","GL000218.1",51867,54893
"35","ENSG00000273554",NA,"","protein_coding","KI270728.1",1139577,1147868
"36","ENSG00000275869",102723713,"","protein_coding","KI270728.1",933862,936467
"37","ENSG00000277836",NA,"","protein_coding","KI270728.1",1270984,1271271
"38","ENSG00000288499",56975,"FAM20C","protein_coding","HG1309_PATCH",168259,235989
"39","ENSG00000288431",NA,"","protein_coding","HG1309_PATCH",238026,238462
"40","ENSG00000288260",NA,"","protein_coding","HG1395_PATCH",32845,52502
"41","ENSG00000288297",641700,"ECSCR","protein_coding","HG1395_PATCH",39089,52538
"42","ENSG00000288274",111064649,"SMIM33","protein_coding","HG1395_PATCH",60573,64567
"43","ENSG00000288243",340061,"STING1","protein_coding","HG1395_PATCH",65328,72730
"44","ENSG00000288319",NA,"","protein_coding","HG1485_PATCH",7682,21171
"45","ENSG00000261958",390174,"OR9G1","protein_coding","HG151_NOVEL_TEST",7154,8071
"46","ENSG00000262191",504191,"OR9G9","protein_coding","HG151_NOVEL_TEST",18234,19151
"47","ENSG00000262647",283189,"OR9G4","protein_coding","HG151_NOVEL_TEST",60669,61653
"48","ENSG00000281107",NA,"OR5G3","protein_coding","HG151_NOVEL_TEST",137423,138358
"49","ENSG00000169789",9081,"PRY","protein_coding","Y",22490397,22514637
"50","ENSG00000114374",64595,"USP9Y","protein_coding","Y",12537650,12860839
"51","ENSG00000114374",8287,"USP9Y","protein_coding","Y",12537650,12860839
"52","ENSG00000288263",6011,"GRK1","protein_coding","HG1524_PATCH",18042,39335
"53","ENSG00000169807",442862,"PRY2","protein_coding","Y",22071756,22096007
"54","ENSG00000198692",9086,"EIF1AY","protein_coding","Y",20575776,20593154
"55","ENSG00000183753",9083,"BPY2","protein_coding","Y",22973819,23005465
